abd_l,abd_r,add_l,add_r,bifemsh_l,bifemsh_r,gastroc_l,glut_max_l,glut_max_r,hamstrings_l,hamstrings_r,iliopsoas_l,iliopsoas_r,rect_fem_l,rect_fem_r,soleus_l,tib_ant_l,vasti_l,vasti_r
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1744,NaN,NaN,NaN,0.0909,NaN,0.0577,0.2231,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1964,NaN,NaN,NaN,0.0974,NaN,0.0598,0.2548,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2088,NaN,NaN,NaN,0.1021,NaN,0.0646,0.2603,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2114,NaN,NaN,NaN,0.1027,NaN,0.0707,0.2423,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2052,NaN,NaN,NaN,0.0998,NaN,0.077,0.2255,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1933,NaN,NaN,NaN,0.0978,NaN,0.0835,0.2103,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1798,NaN,NaN,NaN,0.0968,NaN,0.0936,0.1987,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1693,NaN,NaN,NaN,0.0946,NaN,0.1097,0.1874,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1597,NaN,NaN,NaN,0.0912,NaN,0.1271,0.1755,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1529,NaN,NaN,NaN,0.0879,NaN,0.1456,0.1645,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1492,NaN,NaN,NaN,0.0831,NaN,0.1667,0.1553,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1454,NaN,NaN,NaN,0.0787,NaN,0.1901,0.1461,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1388,NaN,NaN,NaN,0.0761,NaN,0.2079,0.1388,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1303,NaN,NaN,NaN,0.0743,NaN,0.2242,0.1304,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1227,NaN,NaN,NaN,0.0716,NaN,0.2433,0.1226,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1164,NaN,NaN,NaN,0.0704,NaN,0.2667,0.1147,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1119,NaN,NaN,NaN,0.0699,NaN,0.2894,0.1088,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1119,NaN,NaN,NaN,0.0688,NaN,0.3108,0.1046,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1129,NaN,NaN,NaN,0.0667,NaN,0.3274,0.1032,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1121,NaN,NaN,NaN,0.065,NaN,0.3399,0.0984,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1134,NaN,NaN,NaN,0.0628,NaN,0.3471,0.0952,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1114,NaN,NaN,NaN,0.0606,NaN,0.3501,0.0922,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1098,NaN,NaN,NaN,0.0589,NaN,0.3415,0.0908,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1059,NaN,NaN,NaN,0.0558,NaN,0.3142,0.0867,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1004,NaN,NaN,NaN,0.0541,NaN,0.2741,0.0812,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0945,NaN,NaN,NaN,0.0553,NaN,0.2235,0.0762,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0905,NaN,NaN,NaN,0.0573,NaN,0.1734,0.0735,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0881,NaN,NaN,NaN,0.0605,NaN,0.1329,0.0716,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0874,NaN,NaN,NaN,0.0604,NaN,0.1068,0.0731,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0883,NaN,NaN,NaN,0.0587,NaN,0.0878,0.0801,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.089,NaN,NaN,NaN,0.0559,NaN,0.0751,0.0959,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0912,NaN,NaN,NaN,0.0525,NaN,0.0654,0.1219,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0932,NaN,NaN,NaN,0.0488,NaN,0.0598,0.1545,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0933,NaN,NaN,NaN,0.046,NaN,0.058,0.1851,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0938,NaN,NaN,NaN,0.0434,NaN,0.0551,0.2111,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0924,NaN,NaN,NaN,0.0418,NaN,0.0527,0.2314,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0889,NaN,NaN,NaN,0.0419,NaN,0.0509,0.2456,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0848,NaN,NaN,NaN,0.0431,NaN,0.0489,0.2518,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0778,NaN,NaN,NaN,0.0435,NaN,0.0462,0.2494,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0717,NaN,NaN,NaN,0.0437,NaN,0.0432,0.2354,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0687,NaN,NaN,NaN,0.0452,NaN,0.0411,0.2145,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0628,NaN,NaN,NaN,0.0495,NaN,0.0384,0.1877,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0598,NaN,NaN,NaN,0.0556,NaN,0.0358,0.1645,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0608,NaN,NaN,NaN,0.064,NaN,0.0352,0.1513,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0657,NaN,NaN,NaN,0.0727,NaN,0.0365,0.1478,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0738,NaN,NaN,NaN,0.0822,NaN,0.0396,0.1525,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0861,NaN,NaN,NaN,0.0916,NaN,0.0435,0.1615,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1036,NaN,NaN,NaN,0.0951,NaN,0.047,0.1749,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1291,NaN,NaN,NaN,0.0952,NaN,0.0521,0.1882,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1623,NaN,NaN,NaN,0.0924,NaN,0.0568,0.2051,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1939,NaN,NaN,NaN,0.0968,NaN,0.0606,0.2326,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2552,NaN,NaN,NaN,0.1365,NaN,0.0621,0.3452,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2631,NaN,NaN,NaN,0.1644,NaN,0.0644,0.3901,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2626,NaN,NaN,NaN,0.1859,NaN,0.067,0.3961,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2523,NaN,NaN,NaN,0.1908,NaN,0.0709,0.3444,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2316,NaN,NaN,NaN,0.1806,NaN,0.0785,0.2753,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.205,NaN,NaN,NaN,0.1612,NaN,0.0899,0.2258,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1779,NaN,NaN,NaN,0.1405,NaN,0.1048,0.1946,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.155,NaN,NaN,NaN,0.1232,NaN,0.1246,0.1732,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1409,NaN,NaN,NaN,0.1093,NaN,0.1504,0.1579,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1355,NaN,NaN,NaN,0.0973,NaN,0.1817,0.1464,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1335,NaN,NaN,NaN,0.087,NaN,0.2169,0.1372,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1309,NaN,NaN,NaN,0.0788,NaN,0.2536,0.1298,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1264,NaN,NaN,NaN,0.0728,NaN,0.2879,0.124,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1193,NaN,NaN,NaN,0.0685,NaN,0.3181,0.1188,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1106,NaN,NaN,NaN,0.065,NaN,0.3469,0.1134,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1032,NaN,NaN,NaN,0.0617,NaN,0.3755,0.1077,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.099,NaN,NaN,NaN,0.0587,NaN,0.4029,0.1022,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0974,NaN,NaN,NaN,0.0565,NaN,0.4259,0.0971,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0973,NaN,NaN,NaN,0.0553,NaN,0.4418,0.093,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0978,NaN,NaN,NaN,0.0547,NaN,0.4502,0.0904,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.097,NaN,NaN,NaN,0.0548,NaN,0.4489,0.0895,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0945,NaN,NaN,NaN,0.0555,NaN,0.4325,0.0889,NaN,NaN
